song_name,name,song_id,popularity
...Ready For It?,Taylor Swift,7zgqtptZvhf8GEmdsM2vp2,0
Life Changes,Thomas Rhett,4Vxu50qVrQcycjRyJQaZLC,59
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,81
Galway Girl,Ed Sheeran,0afhq8XCExXpqazXczTSve,78
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,83
Havana (feat. Young Thug),Camila Cabello,0ofbQMrRDsUaVKq2mGLEAb,0
Havana (feat. Young Thug),Young Thug,0ofbQMrRDsUaVKq2mGLEAb,0
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,87
Gonna Fly Now,Bill Conti,6C2PfemHQul77DVpnvuAIs,54
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,3PGdPUMdUg7a3Tgr5gkfKK,0
Don't Wanna Know (feat. Kendrick Lamar),Kendrick Lamar,3PGdPUMdUg7a3Tgr5gkfKK,0
Thinking out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,82
Everybody Talks,Neon Trees,3528IXKpbb7OMjdjWYlbfD,50
We Are Never Ever Getting Back Together,Taylor Swift,7AEAGTc8cReDqcbPoY9gwo,57
Bad Blood,Taylor Swift,273dCMFseLcVsoSWx59IoE,66
Hall of Fame (feat. will.i.am),The Script,1X1DWw2pcNZ8zSub3uhlNz,71
Hall of Fame (feat. will.i.am),will.i.am,1X1DWw2pcNZ8zSub3uhlNz,71
Payphone,Maroon 5,1LmN9SSHISbtp9LoaR5ZVJ,68
Payphone,Wiz Khalifa,1LmN9SSHISbtp9LoaR5ZVJ,68
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,81
Stuck Like Glue,Sugarland,0JcKdUGNR7zI4jJDLyYXbi,62
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,86
Steal My Girl,One Direction,2Bs4jQEGMycglOfWPBqrVG,80
I'm the One,DJ Khaled,72Q0FQQo32KJloivv5xge2,0
